drift,system,problem,relearn counts,0-50,51-100,101-150,151-200
reoccurring,no_relearn,miconic_miconic_p02_hyp-1_10_3_-no-relearn_per50.0.csv,0,0.8086666666666666,0.7231292517006803,0.7751700680272109,0.6802721088435374
reoccurring,no_relearn,zeno-travel_zeno-travel_p06_hyp-2_10_1_-no-relearn_per50.0.csv,0,0.9430000000000001,0.5380952380952381,0.960204081632653,0.5312925170068028
reoccurring,no_relearn,depots_problem03_-no-relearn_per50.0.csv,0,0.6985714285714286,0.6756559766763849,0.7199344023323615,0.6833090379008746
reoccurring,no_relearn,miconic_miconic_p01_hyp-1_10_1_-no-relearn_per50.0.csv,0,0.7626666666666667,0.6122448979591837,0.7636054421768708,0.6312925170068028
reoccurring,no_relearn,sokoban_sokoban_p07_hyp-4_10_1_-no-relearn_per50.0.csv,0,0.8486666666666667,0.6986394557823129,0.8370748299319728,0.6744897959183673
reoccurring,no_relearn,easy-ipc-grid_easy-ipc-grid-aaai_p5-5-5_hyp-2_10_0_-no-relearn_per50.0.csv,0,0.772,0.7005102040816327,0.7163265306122449,0.7112244897959183
reoccurring,no_relearn,miconic_miconic_p03_hyp-3_10_2_-no-relearn_per50.0.csv,0,0.63,0.622108843537415,0.6561224489795918,0.6244897959183674
reoccurring,no_relearn,zeno-travel_zeno-travel_p02_hyp-3_10_2_-no-relearn_per50.0.csv,0,0.8706666666666667,0.7064625850340136,0.8482993197278912,0.6982993197278912
reoccurring,no_relearn,ferry_ferry_p05_hyp-3_10_1_-no-relearn_per50.0.csv,0,0.7560714285714286,0.665634110787172,0.750728862973761,0.7064504373177842
reoccurring,no_relearn,satellite_satellite_p06_hyp-1_10_3_-no-relearn_per50.0.csv,0,0.910952380952381,0.5,0.912779397473275,0.5
reoccurring,no_relearn,logistics_logistics_p01_hyp-2_10_2_-no-relearn_per50.0.csv,0,0.9177777777777778,0.8290249433106576,0.9068027210884354,0.8373015873015873
reoccurring,no_relearn,easy-ipc-grid_easy-ipc-grid_p5-5-5_hyp-1_10_1_-no-relearn_per50.0.csv,0,0.7405,0.6188775510204082,0.7591836734693878,0.5994897959183674
reoccurring,no_relearn,ferry_ferry_p02_hyp-3_10_2_-no-relearn_per50.0.csv,0,0.7251785714285715,0.7097303206997084,0.7487244897959183,0.7137390670553936
reoccurring,no_relearn,blocks-world_block-words_p05_-no-relearn_per50.0.csv,0,0.5886315789473684,0.49470998925886145,0.6127551020408163,0.506203007518797
